ITEM;TOTAL
"1.1 CORTE EFECTIVO DE TODAS LAS FUENTES DE TENSIÓN";3
"1.1 LAS EXCAVACIONES SUPERIORES A 1,5 MTS SE ENCUENTRAN ENTIBADAS.";10
"1.1 IDENTIFICÓ Y EVALUÓ LOS RIESGOS DE CAÍDAS DE ALTURA O A DISTINTO NIVEL.";1
"1.2 BLOQUEO DE LOS APARATOS DE CORTE";1
"1.2 TODOS LOS CARRETES A PISO CUENTAN CON CUÑAS.";4
"1.2 TODAS LAS EXCAVACIONES CUENTAN CON ESCALAS QUE SOBRESALEN UN METRO DESDE SU BORDE.";2
"1.2 INSTALA DE MANERA CORRECTA LA ESCALA, ANTES DE EJECUTAR SU TRABAJO.";1
"1.3 EL MATERIAL SE ENCUENTRA ACOPIADO A MAS DE 50 CM DEL BORDE DE LA EXCAVACIÓN.";6
"1.4 LOS CARRETES SE ENCUENTRAN CORRECTAMENTE ALMACENADOS Y NO OBSTRUYEN ZONAS DE TRÁNSITO.";3
"1.4 LAS EXCAVACIONES CUENTAN CON CIERRE PERIMETRAL Y SEÑALIZACION ADECUADA.";3
"1.5 SEÑALIZACIÓN DE ZONA DE TRABAJO";2
"1.5 EXISTE UNA PASO PEATONAL HABILITADO Y SEÑALIZADA.";3
"10.1 EL VEHÍCULO Y EL EQUIPAMIENTO CUMPLE CON LAS ESPECIFICACIONES TÉCNICAS";66
"10.1 EL VEHÍCULO UTILIZADO PARA LA TAREA Y SUS EQUIPAMIENTOS Y ACCESORIOS CUMPLE CON LAS ESPECIFICACIONES TÉCNICAS REQUERIDAS";3
"10.1 EL VEHÍCULO UTILIZADO PARA LA TAREA Y SUS EQUIPAMIENTOS Y ACCESORIOS CUMPLE CON LAS ESPECIFICACIONES TÉCNICAS REQUERIDAS";8
"10.2 POSÉE LA DOCUMENTACIÓN LEGAL DEL VEHÍCULO Y DEL CONDUCTOR";4
"10.2 POSEE LA DOCUMENTACIÓN DEL VEHÍCULO O DEL CONDUCTOR EXIGIDOS POR CÓD. TRÁNSITO LOCAL.";5
"10.3 TRASLADO DE PERSONAL EN VEHÍCULOS AUTORIZADOS Y EN NORMA";5
"10.3 TRASLADO DE PERSONAL EN VEHÍCULOS EN SITIOS AUTORIZADOS Y CUMPLIENDO CON LAS NORMAS DE TRÁNSITO LOCAL";3
"11.1 PRIMEROS AUXILIOS Y EMERGENCIAS";59
"11.1 BOTIQUÍN DE PRIMEROS AUXILIOS COMPLETOS.";20
"12.1 SE AMONESTA ALGÚN TRABAJADOR DE LA CUADRILLA POR ACTOS, OMISIONES O IMPRUDENCIAS TEMERARIAS QUE AFECTEN A LA SEGURIDAD O AL FUNCIONAMIENTO DEL ESTABLECIMIENTO, A LA SEGURIDAD O A LA ACTIVIDAD DE LOS TRABAJADORES, O A LA SALUD DE ÉSTOS.";18
"12.1 SE AMONESTA ALGÚN TRABAJADOR DE LA CUADRILLA POR ACTOS, OMISIONES O IMPRUDENCIAS TEMERARIAS QUE AFECTEN A LA SEGURIDAD O AL FUNCIONAMIENTO DEL ESTABLECIMIENTO, A LA SEGURIDAD O A LA ACTIVIDAD DE LOS TRABAJADORES, O A LA SALUD DE ÉSTOS.";1
"2.2 AUTORIZACIÓN PARA INGRESO A CIRCUITO";1
"3.1 CUENTA CON ÓRDEN DE TRABAJO";1
"3.1 CUENTA CON ORDEN DE TRABAJO";3
