ITEM;TOTAL
"1.1 las excavaciones superiores a 1,5 mts se encuentran entibadas.";9
"1.1 identifica y evalúa los riesgos de caídas de altura o a distinto nivel.";1
"1.2 todos los carretes a piso cuentan con cuñas.";4
"1.2 todas las excavaciones cuentan con escalas que sobresalen un metro desde su borde.";2
"1.2 instala de manera correcta la escala, antes de ejecutar su trabajo.";1
"1.3 el material se encuentra acopiado a mas de 50 cm del borde de la excavación.";4
"1.4 los carretes se encuentran correctamente almacenados y no obstruyen zonas de tránsito.";3
"1.4 las excavaciones cuentan con cierre perimetral y señalizacion adecuada.";3
"1.5 señalización de zona de trabajo";1
"1.5 existe una paso peatonal habilitado y señalizada.";3
"10.1 el vehículo y el equipamiento cumple con las especificaciones técnicas";60
"10.1 el vehículo utilizado para la tarea y sus equipamientos y accesorios cumple con las especificaciones técnicas requeridas";2
"10.1 el vehículo utilizado para la tarea y sus equipamientos y accesorios cumple con las especificaciones técnicas requeridas";5
"10.2 posée la documentación legal del vehículo y del conductor";4
"10.2 posee la documentación del vehículo o del conductor exigidos por cód. tránsito local.";4
"10.3 traslado de personal en vehículos autorizados y en norma";4
"10.3 traslado de personal en vehículos en sitios autorizados y cumpliendo con las normas de tránsito local";3
"11.1 primeros auxilios y emergencias";55
"11.1 botiquín de primeros auxilios completos.";18
"12.1 se amonesta algún trabajador de la cuadrilla por actos, omisiones o imprudencias temerarias que afecten a la seguridad o al funcionamiento del establecimiento, a la seguridad o a la actividad de los trabajadores, o a la salud de éstos.";16
"12.1 se amonesta algún trabajador de la cuadrilla por actos, omisiones o imprudencias temerarias que afecten a la seguridad o al funcionamiento del establecimiento, a la seguridad o a la actividad de los trabajadores, o a la salud de éstos.";1
"2.2 autorización para ingreso a circuito";1
"3.1 cuenta con órden de trabajo";1
"3.1 cuenta con orden de trabajo";1
"3.2 el nombre de los empleados esta en la orden de trabajo";27
"3.2 actividad que se encuentra ejecutando dispone de los procedimientos de trabajo vigentes";8
"3.3 cumple con el procedimiento de trabajo y las normas vigentes";22
"3.3 el personal que ejecuta la tarea fue instruido en el procedimiento de trabajo seguro.";6
"3.4 la actividad en ejecución dispone de los procedimientos vigentes";26
"3.4 cumple con el pts y normas técnicas";1
"3.4 cumple con el procedimiento de trabajo y las normas técnicas";6
"3.5 dispone de los planos o guías para las instalaciones vigentes";19
"3.5 dispone de los planos o guías de las instalaciones vigentes";2
"4.10 usa chaleco reflectante en buen estado y normalizado";35
"4.10 usa chaleco reflectante en buen estado y normalizado";9
"4.11 usa mangas dieléctricas en buen estado y normalizado";2
"4.11 utiliza protección respiratoria, en buen estado y normalizada";1
"4.11 utiliza protección respiratoria, en buen estado y normalizado.";6
"4.12 usa protección respiratoria en buen estado y normalizado";7
"4.12 cuenta con extintor de incendio en la zona de trabajo. (mín 6 kg)";14
"4.1 utiliza casco de seguridad con barbiquejo, en buen estado y normalizado";13
"4.1 utiliza casco de seguridad con sistema de fijación en buen estado y normalizado";8
"4.2 usa calzado de seguridad en buen estado y normalizado";19
"4.2 utiliza calzado de seguridad, en buen estado y normalizado";7
"4.3 usa guantes de seguridad acorde al trabajo en buen estado y normalizado";10
"4.3 utiliza traje descarne para labores de soldadura o corte con esmeril.";5
"4.4 utiliza guantes dieléctricos, en bt o mt según corresponda, en buen estado y normalizado";13
"4.4 utiliza guantes de seguridad.";3
"4.4 utiliza guantes de acuerdo a la labor que ejecuta.";8
"4.5 utiliza protección facial, en buen estado y normalizado";10
"4.5 utiliza protección facial, en buen estado y normalizado.";8
"4.6 usa sistemas de protección contra caidas (cinturón, arnés)";3
"4.6 utiliza sistema de protección contra caídas de altura (cinturón, arnés completo)";2
"4.7 usa ropa de trabajo acorde al trabajo en buen estado y normalizado.";27
"4.7 usa ropa de trabajo acorde al trabajo en buen estado y normalizado.";7
"4.8 usa protector ocular en buen estado y normalizado";24
"4.8 usa protector ocular en buen estado y normalizado";9
"4.9 usa protectores auditivos en buen estado y normalizado";6
"4.9 usa protectores auditivos en buen estado y normalizado";6
"5.1 utiliza los materiales indicados";7
"5.1 existe orden y aseo en zona de trabajo";4
"5.2 utiliza los equipos indicados";23
"5.2 equipos indicados y en buen estado";1
"5.2 se encuentran en buen estado los equipos utilizados.";7
"5.3 utiliza las herramientas indicadas";42
"5.3 herramientas indicadas y en buen estado";1
"5.3 se encuentran en buen estado las herramientas utilizadas.";1
"6.1 orden y/o limpieza en la zona de trabajo";22
"6.1 orden y/o limpieza en zona de trabajo";46
"6.1 la faena cuenta con medio de refrigeracion para la comida del personal.";24
"6.2 medios de comunicación existente";2
"6.2 la faena cuenta con baños suficientes, limpios y sanitizados.";9
"6.3 empleados trabajando en condiciones físicas y psíquicas adecuadas";1
"6.3 empleado trabajando en condiciones físicas y psíquicas adecuadas";1
"6.3 la faena cuenta con comedores para el personal.";3
"6.4 supervisión adecuada de la tarea";3
"6.4 supervisión adecuada de la tarea.";5
"6.4 la faena cuenta con agua potable en cantidad suficiente.";5
"6.5 se almacenan sustancias y/o residuos peligrosos";1
"7.1 protección completa de la zona de trabajo";21
"7.1 protección completa de la zona de trabajo";8
"7.2 señalización completa de la zona de trabajo";34
"7.2 señalización completa de la zona de trabajo";1
"7.2 señalización completa de la zona de trabajo";20
"8.1 se identificaron los riesgos de la tarea";13
"8.1 identificó los riesgos de la tarea";1
"8.1 se identificaron los riesgos de la tarea";7
"8.2 se realizó la charla inicial de 5 minutos";17
"8.2 se realizó la charla inicial de cinco minutos";1
"8.2 se realizó la charla inicial de 5 minutos";5
"9.1 porta credencial de identificación autorizada para trabajar";132
"9.1 porta credencial de identificación autorizada para trabajar";26
"9.1 porta credencial de identificación autorizada para trabajar";79
"9.2 posee la competencia adecuada para la actividad técnica que ejecuta";1
"9.2 poseer la competencia adecuada para la actividad técnica que ejecuta";1
"9.3 sabe cómo actuar en caso de emergencia o accidente laboral";3
"9.3 sabe o conoce cómo actuar en caso de emergencias o accidentes o incidentes de trabajo.";4
